"Cluster"	"cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"S6"	"S6"	"GOCC_SCHAFFER_COLLATERAL_CA1_SYNAPSE"	"GOCC_SCHAFFER_COLLATERAL_CA1_SYNAPSE"	"14/925"	"92/17939"	0.000250994728952726	0.00660809368805362	0.00527829155268679	"ITGB1/NTNG1/ACTB/EEA1/HIP1/CTNND1/PTPRS/PRKAR1B/PLCG1/PRKCI/IQSEC2/EPHA4/SLC30A1/SLC16A7"	14
"S6"	"S6"	"GOMF_DIOXYGENASE_ACTIVITY"	"GOMF_DIOXYGENASE_ACTIVITY"	"14/925"	"92/17939"	0.000250994728952726	0.00660809368805362	0.00527829155268679	"P4HA1/P3H2/ADI1/ETHE1/EGLN1/KDM5B/TET1/KDM4B/JMJD6/KDM3B/PHF2/KDM3A/KDM4C/P4HA3"	14
"S6"	"S6"	"GOBP_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_APOPTOTIC_PROCESS"	"GOBP_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_APOPTOTIC_PROCESS"	"11/925"	"61/17939"	0.000252248882960745	0.00660809368805362	0.00527829155268679	"ANGPT1/GAS6/HAND2/CFLAR/TNFAIP3/SEMA5A/WFS1/MAPK7/ICAM1/MDK/SERPINE1"	11
"S6"	"S6"	"KEGG_GLYCOLYSIS_GLUCONEOGENESIS"	"KEGG_GLYCOLYSIS_GLUCONEOGENESIS"	"11/925"	"61/17939"	0.000252248882960745	0.00660809368805362	0.00527829155268679	"PKM/PGAM1/PFKL/PGK1/ALDH1A3/ALDH1B1/PFKP/HK1/ALDOC/DLAT/ENO2"	11
"S6"	"S6"	"REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES"	"REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES"	"11/925"	"61/17939"	0.000252248882960745	0.00660809368805362	0.00527829155268679	"MMP3/COL3A1/COL6A1/COL6A2/COL14A1/COL5A2/DST/COL15A1/COL5A1/PLEC/COL4A2"	11
"S6"	"S6"	"GOBP_ORGANIC_HYDROXY_COMPOUND_BIOSYNTHETIC_PROCESS"	"GOBP_ORGANIC_HYDROXY_COMPOUND_BIOSYNTHETIC_PROCESS"	"26/925"	"238/17939"	0.000253242428927144	0.00661244119976433	0.00528176417813993	"ACLY/IMPA2/CYP51A1/CH25H/INSIG2/LSS/MOXD1/HAND2/HSD17B1/ISYNA1/RAPGEF2/CYB5R2/OSBP/FDFT1/SQLE/NFKB1/IP6K2/DKK3/HMGCS1/SREBF2/OSBPL2/HMGCR/PRKAG2/STARD4/MSMO1/MVD"	26
"S6"	"S6"	"GOBP_RESPONSE_TO_PEPTIDE_HORMONE"	"GOBP_RESPONSE_TO_PEPTIDE_HORMONE"	"40/925"	"432/17939"	0.00025499261439229	0.00663645273288077	0.00530094366898836	"COL3A1/COL6A1/PKM/TGFB1/SOCS1/OSBPL8/SLC39A14/RARRES2/GNAI1/NAMPT/USO1/LRP5/INSIG2/PTPN11/CYFIP1/IRS1/CD2AP/TCF12/STC2/STAT3/CAT/CFLAR/NFKB1/TNS2/PRKCI/SMAD3/JAK2/INHBA/PIP4K2A/STAT2/PRKCA/LRP6/RANGAP1/PIK3R1/SLC27A1/PID1/EPM2AIP1/RAB31/STAT5B/CXCL12"	40
"S6"	"S6"	"GOBP_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION"	"GOBP_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION"	"35/925"	"361/17939"	0.000258008434773311	0.00669314088908687	0.00534622399190221	"NRP2/ANGPT1/HIF1A/FGF7/B2M/TGFB1/PTPRN/SFRP1/F3/B4GALT1/WNT2/MCC/SULF2/KDM5B/CCL2/TNFSF12/TGFBR1/STAT3/CFLAR/TNFAIP3/SEMA5A/PLCG1/EGFR/SMAD3/CD109/ARNT/ITGA4/PRKCA/HLX/CDKN2B/SULF1/MDK/HMOX1/THBS1/CXCL12"	35
"S6"	"S6"	"WP_HEPATITIS_B_INFECTION"	"WP_HEPATITIS_B_INFECTION"	"19/925"	"150/17939"	0.000263497343633284	0.00681341027711953	0.00544229056190972	"TGFB1/DDX3X/DDB1/NFATC1/TGFBR1/TICAM1/APAF1/FAS/STAT3/ATF6B/NFKB1/SMAD3/JAK2/STAT2/PRKCA/PIK3R1/EP300/STAT5B/IL6"	19
"S6"	"S6"	"GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_PRODUCTION"	"GOBP_TRANSFORMING_GROWTH_FACTOR_BETA_PRODUCTION"	"8/925"	"34/17939"	0.000265378013537869	0.00683990428441153	0.00546345295782717	"LUM/HIF1A/COL3A1/CD2AP/SMAD3/TSKU/GATA6/THBS1"	8
