"simple_id"	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"	"proximity"
"P:r1@MDH1"	0	0.642000687684051	0.981	0.93	0	"4"	"MDH1"	"P"
"P:r1@PCBP1"	0	0.64211814056314	0.928	0.801	0	"1"	"PCBP1"	"P"
"P:r1@NQO1"	0	0.642157429931463	0.96	0.908	0	"0"	"NQO1"	"P"
"P:r1@MPST"	0	0.642928918622033	0.947	0.828	0	"2"	"MPST"	"P"
"P:r1@TNC"	0	0.643448026326626	0.663	0.237	0	"3"	"TNC"	"P"
"P:r1@TGFBI"	0	0.643665031773087	0.998	0.84	0	"3"	"TGFBI"	"P"
"P:r1@YWHAB"	0	0.644035315355261	0.985	0.953	0	"1"	"YWHAB"	"P"
"P:r1@PROCR"	0	0.645378799692935	0.842	0.592	0	"1"	"PROCR"	"P"
"P:r1@CLEC11A"	0	0.64720015968729	0.926	0.789	0	"1"	"CLEC11A"	"P"
"P:r1@PDIA3"	0	0.647572426583739	0.999	0.986	0	"1"	"PDIA3"	"P"
"P:r1@HADHA"	0	0.648314546247449	0.995	0.966	0	"4"	"HADHA"	"P"
"P:r1@ATP5MG,r1@AP001267.5"	0	0.648942085582151	0.999	0.995	0	"4"	"ATP5MG,r1@AP001267.5"	"P"
"P:r1@GABARAP"	0	0.649374996284693	0.998	0.998	0	"1"	"GABARAP"	"P"
"P:r1@SUMO3"	0	0.649403998772576	0.882	0.729	0	"1"	"SUMO3"	"P"
"P:r1@RASD1"	0	0.6497019825116	0.995	0.744	0	"2"	"RASD1"	"P"
"P:r1@CLTC"	0	0.650604990852116	0.895	0.764	0	"1"	"CLTC"	"P"
"P:r1@COL3A1"	0	0.651470616793425	0.999	0.963	0	"3"	"COL3A1"	"P"
"P:r1@AEBP1"	0	0.652817701650169	0.857	0.411	0	"3"	"AEBP1"	"P"
"P:r1@CALU"	0	0.654067143842533	0.998	0.987	0	"1"	"CALU"	"P"
"P:r1@AKR1C3"	0	0.654285793813182	0.98	0.9	0	"0"	"AKR1C3"	"P"
"P:r1@MYDGF"	0	0.654641475628845	0.995	0.976	0	"1"	"MYDGF"	"P"
"P:r1@MT-CO2,r1@MT-TD"	0	0.654695990693686	0.997	0.997	0	"4"	"MT-CO2,r1@MT-TD"	"P"
"P:r1@TPM3"	0	0.655048181233277	0.908	0.823	0	"1"	"TPM3"	"P"
"P:r1@HLA-C"	0	0.655510543346268	0.999	0.937	0	"3"	"HLA-C"	"P"
"P:r1@CD63"	0	0.657078697516315	1	0.999	0	"4"	"CD63"	"P"
"P:r1@FTH1"	0	0.657297487021442	1	1	0	"3"	"FTH1"	"P"
"P:r1@NDUFS5"	0	0.657787996598952	0.999	0.994	0	"4"	"NDUFS5"	"P"
"P:r1@CAT"	0	0.658475161709456	0.953	0.851	0	"2"	"CAT"	"P"
"P:r1@PSMA7"	0	0.659085211744456	0.997	0.982	0	"4"	"PSMA7"	"P"
"P:r1@RHOBTB3"	0	0.659462642266451	0.989	0.935	0	"4"	"RHOBTB3"	"P"
"P:r1@GUK1"	0	0.659694561913895	0.995	0.984	0	"1"	"GUK1"	"P"
"P:r1@TXNDC5"	0	0.661211287350405	0.973	0.893	0	"1"	"TXNDC5"	"P"
"P:r1@CCDC90B"	0	0.663516952577217	0.86	0.683	0	"1"	"CCDC90B"	"P"
"P:r1@ZNHIT1"	0	0.664039352488302	0.983	0.943	0	"4"	"ZNHIT1"	"P"
"P:r1@TRIM28"	0	0.664110428022982	0.968	0.744	0	"3"	"TRIM28"	"P"
"P:r1@B2M"	0	0.664560849626776	1	0.999	0	"1"	"B2M"	"P"
"P:r1@DARS"	0	0.664886907796063	0.861	0.703	0	"1"	"DARS"	"P"
"P:r1@ELOVL5"	0	0.665253709049338	0.996	0.904	0	"4"	"ELOVL5"	"P"
