Cluster	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
s5	Nucleotide synthesis and processing	Nucleotide synthesis and processing	24	0.597269086692427	1.66003335620234	0.0135271778168064	0.0489059505684539	0.0312165641926301	4408	tags=54%, list=24%, signal=41%	NME3/FHIT/SUCLG1/DHODH/NME4/DTYMK/SUCLA2/GUK1/AK4/AK3/TK2/NT5M/HINT1
s5	Biotin utilizing proteins	Biotin utilizing proteins	5	0.850430750315009	1.57939858059942	0.0128040510191687	0.0489059505684539	0.0312165641926301	2643	tags=80%, list=15%, signal=68%	ACACB/PC/MCCC1/PCCA
s2	Heme-containing proteins	Heme-containing proteins	10	0.7051124451197	1.704865480514	0.0152408616209045	0.0494855227217928	0.0265991611494519	4721	tags=80%, list=26%, signal=59%	CYCS/SDHC/CYB5B/SDHD/MT-CYB/CYC1/CYP11A1/MT-CO1
s2	Type II fatty acid synthesis	Type II fatty acid synthesis	9	0.735302189891455	1.6979267768377	0.0142229156534621	0.0494855227217928	0.0265991611494519	3793	tags=78%, list=21%, signal=61%	OXSM/HSD17B8/MECR/NDUFAB1/MCAT/CBR4/ACACA
s2	Ketone metabolism	Ketone metabolism	6	0.798145098473416	1.67170418603691	0.0152668102014042	0.0494855227217928	0.0265991611494519	1562	tags=67%, list=9%, signal=61%	ACAA2/HADHB/BDH1/ACAT1
s5	Mitochondrial ribosome assembly	Mitochondrial ribosome assembly	23	0.609626567133452	1.68627694715794	0.0142974052603853	0.0497761516472673	0.0317720116897451	6306	tags=78%, list=35%, signal=51%	DDX28/MPV17L2/MALSU1/MIEF1/MRM3/MTG2/ERAL1/MTG1/NOA1/DHX30/TRMT61B/RBFA/METTL17/MTERF4/NGRN/PTCD3/NSUN4/MTERF3
s2	Glycine metabolism	Glycine metabolism	14	0.655547273694488	1.74141260907814	0.0165508585754693	0.0501864743901326	0.026975932482938	1133	tags=43%, list=6%, signal=40%	CHDH/ETFA/ETFDH/DMGDH/DLD/GCSH
s2	Preprotein cleavage	Preprotein cleavage	8	0.74011644025506	1.66356573445001	0.0161780914904362	0.0501864743901326	0.026975932482938	4695	tags=100%, list=26%, signal=74%	UQCRC2/XPNPEP3/MIPEP/UQCRC1/PMPCB/IMMP2L/PMPCA/IMMP1L
s5	Choline and betaine metabolism	Choline and betaine metabolism	7	0.79813069844741	1.66167279162925	0.0149868979921324	0.0503131575450158	0.0321147814117122	3139	tags=86%, list=17%, signal=71%	CHDH/ETFB/ETFA/ETFDH/SARDH/DMGDH
s3	Fe-S cluster biosynthesis	Fe-S cluster biosynthesis	22	0.655056943281204	1.7233029564818	0.0048897982918046	0.0510712266032925	0.0383177176082934	3239	tags=55%, list=18%, signal=45%	NDUFAB1/NFU1/NFS1/GRPEL1/ISCA1/IBA57/NUBPL/GLRX5/HSPA9/GRPEL2/FXN/ABCB7
s1	Fe-S-containing proteins	Fe-S-containing proteins	30	0.598042737462354	1.6245255659221	0.0114560703725819	0.0538435307511351	0.0379859175511927	3397	tags=53%, list=19%, signal=43%	ETFDH/ACO2/UQCRFS1/NFU1/GLRX2/NDUFS1/LIAS/NDUFS2/SDHB/NDUFV1/ISCA1/NFS1/GLRX5/NUBPL/FECH/NDUFS7
s4	ROS and glutathione metabolism	ROS and glutathione metabolism	27	0.571606621555151	1.67044282763061	0.00736609752935966	0.0577010973133173	0.0419996788954717	4428	tags=63%, list=25%, signal=48%	GPX1/GPX4/AIFM2/TXNRD2/PRDX2/PRDX5/HAGH/ALDH9A1/CAT/SOD1/PRXL2A/MSRA/TXN2/ALDH3A2/MGST1/PRDX6/PRDX3
s2	Chaperones	Chaperones	15	0.620759344105226	1.66631405496393	0.019647388085386	0.0577142025008214	0.0310221917137674	2979	tags=67%, list=17%, signal=56%	HSPD1/TIMM8A/TRAP1/HSPE1/PHB/TIMM10/TIMM8B/NRDC/MAIP1/TIMM10B
s2	NAD biosynthesis and metabolism	NAD biosynthesis and metabolism	12	0.645399985593658	1.64737141020124	0.0219224112559034	0.0597762063414917	0.0321305476415633	4890	tags=75%, list=27%, signal=55%	NMNAT3/KYAT3/NOCT/NADK2/SLC25A51/NUDT13/NNT/SIRT4/SIRT5
s2	Cholesterol, bile acid, steroid synthesis	Cholesterol, bile acid, steroid synthesis	12	0.643742971997902	1.64314191394327	0.0222570981058746	0.0597762063414917	0.0321305476415633	2399	tags=50%, list=13%, signal=43%	STAR/HINT2/HSD17B8/SCP2/OSBPL1A/FDX1
s2	Choline and betaine metabolism	Choline and betaine metabolism	7	0.745979700870966	1.63746969395829	0.0212530378584095	0.0597762063414917	0.0321305476415633	776	tags=57%, list=4%, signal=55%	CHDH/ETFA/ETFDH/DMGDH
s3	TCA-associated	TCA-associated	14	0.745965566840429	1.76245896013288	0.00648081399290749	0.0609196515333304	0.0457067934236634	3562	tags=79%, list=20%, signal=63%	L2HGDH/ACLY/SLC25A1/PC/ME3/ME2/MPC2/FAHD1/SLC25A11/MPC1/D2HGDH
s1	Gluconeogenesis	Gluconeogenesis	8	0.796453855782257	1.64368281873039	0.0139032719249047	0.0622336933781447	0.0439050692365411	2813	tags=88%, list=16%, signal=74%	SLC25A1/MPC2/PC/SLC25A10/MDH2/SLC25A11/MPC1
s1	mt-tRNA modifications	mt-tRNA modifications	22	0.622764412404315	1.5960468017998	0.0152040699842146	0.0649628444780079	0.0458304501916517	5217	tags=64%, list=29%, signal=45%	DUS2/TRMT10C/TRMT2B/HSD17B10/CDK5RAP1/RPUSD4/TRMT61B/OSGEPL1/YRDC/TRNT1/ALKBH1/THG1L/MTO1/TRMT5
s2	Lipoate insertion	Lipoate insertion	4	0.861355950995066	1.5788360054984	0.0256130833478425	0.0668786065193664	0.0359481871548666	2505	tags=100%, list=14%, signal=86%	GCSH/LIAS/LIPT2/LIPT1
s5	Q-linked reactions, other	Q-linked reactions, other	9	0.731603339674481	1.62858153781426	0.0224661865484676	0.0703940511851984	0.0449323730969351	2040	tags=56%, list=11%, signal=49%	CHDH/ETFB/ETFA/ETFDH/DHODH
s5	Glycine metabolism	Glycine metabolism	14	0.639393734560918	1.5923336871458	0.0224170993830593	0.0703940511851984	0.0449323730969351	3681	tags=64%, list=20%, signal=51%	CHDH/ETFB/ETFA/ETFDH/SARDH/GCAT/DMGDH/GCSH/DLD
