orig.ident	nCount_RNA	nFeature_RNA	sample	condition	time	rep	percent.mt	RNA_snn_res.0.5	seurat_clusters	cond.time	time.rep	initial_clusters	rpca_clusters	harmony_clusters	fastmnn_clusters	raw_pseudotime	monocle_pseudotime	pscondition	velocity_pseudotime
asc_day0	54372	6817	asc_day0	asc	day0	rep1	0.454277937173545	3	2	asc.day0	day0.rep1	3	1	2	2	42.687712417006	0.222114129617491	white	NA
asc_day0	40405	5592	asc_day0	asc	day0	rep1	0.913253310233882	3	2	asc.day0	day0.rep1	3	4	2	2	37.0791900789318	0.324316614442481	white	NA
asc_day0	36535	5549	asc_day0	asc	day0	rep1	1.14958259203503	3	2	asc.day0	day0.rep1	3	8	2	2	41.9401700179134	0.235736379132421	white	NA
asc_day0	31609	5134	asc_day0	asc	day0	rep1	0.398620646018539	3	2	asc.day0	day0.rep1	3	4	2	2	52.2815266937999	0.0472888193247136	white	NA
asc_day0	14411	3638	asc_day0	asc	day0	rep1	1.51273332870724	3	2	asc.day0	day0.rep1	3	4	2	2	52.0338252868884	0.0518026106150041	white	NA
asc_day0	54974	6422	asc_day0	asc	day0	rep1	0.492960308509477	3	2	asc.day0	day0.rep1	3	4	2	2	41.2347576442633	0.248590905345842	white	0.364491999149323
asc_day0	33863	5842	asc_day0	asc	day0	rep1	0.490210554292295	3	0	asc.day0	day0.rep1	3	1	2	0	48.0328576152804	0.124711090441654	white	NA
asc_day0	68279	7333	asc_day0	asc	day0	rep1	0.596083715344396	3	2	asc.day0	day0.rep1	3	6	2	2	37.1219914062376	0.323536658200752	white	NA
asc_day0	19125	4108	asc_day0	asc	day0	rep1	0.308496732026144	3	4	asc.day0	day0.rep1	3	1	2	4	48.7327619350959	0.111956935904497	white	NA
asc_day0	35992	5790	asc_day0	asc	day0	rep1	0.0194487663925317	3	2	asc.day0	day0.rep1	3	4	2	2	41.9401700947942	0.235736377731444	white	NA
asc_day0	30552	5270	asc_day0	asc	day0	rep1	0.952474469756481	3	2	asc.day0	day0.rep1	3	1	2	2	43.8625461565715	0.200705473254528	white	0.357756644487381
asc_day0	39567	6089	asc_day0	asc	day0	rep1	0.717769858720651	3	2	asc.day0	day0.rep1	3	6	2	2	37.9063522999855	0.309243475877774	white	NA
asc_day0	50360	6095	asc_day0	asc	day0	rep1	0.585782366957903	3	2	asc.day0	day0.rep1	3	4	2	2	39.4472454241749	0.281164224936256	white	NA
asc_day0	51639	6844	asc_day0	asc	day0	rep1	0.331145064776622	3	2	asc.day0	day0.rep1	3	4	2	2	53.3663434086717	0.0275205172379194	white	NA
asc_day0	40976	6061	asc_day0	asc	day0	rep1	0.341663412729403	3	2	asc.day0	day0.rep1	3	4	2	2	36.2270101544193	0.339845643401124	white	NA
asc_day0	20104	3998	asc_day0	asc	day0	rep1	0.552128929566255	3	2	asc.day0	day0.rep1	3	0	2	2	51.1243157200125	0.0683763411100733	white	NA
asc_day0	42752	6206	asc_day0	asc	day0	rep1	0.93562874251497	3	2	asc.day0	day0.rep1	3	0	2	2	40.5953267591085	0.260243069926343	white	NA
asc_day0	29364	4974	asc_day0	asc	day0	rep1	0.868410298324479	3	2	asc.day0	day0.rep1	3	4	2	2	38.9391433945558	0.290423221663283	white	0.36254745721817
asc_day0	42791	5622	asc_day0	asc	day0	rep1	0.198639900913744	3	2	asc.day0	day0.rep1	3	4	2	2	40.7472741710056	0.257474176067584	white	NA
asc_day0	28145	5123	asc_day0	asc	day0	rep1	0.255818084917392	3	0	asc.day0	day0.rep1	3	1	2	0	45.3773446820484	0.173101736658531	white	NA
asc_day0	18476	4088	asc_day0	asc	day0	rep1	0.270621346611821	3	0	asc.day0	day0.rep1	3	1	2	0	45.9271997559735	0.163081886248508	white	NA
asc_day0	42977	5630	asc_day0	asc	day0	rep1	0.632896665658375	3	2	asc.day0	day0.rep1	3	6	2	2	38.0908577770754	0.305881285788169	white	NA
asc_day0	39754	5710	asc_day0	asc	day0	rep1	0.676661468028374	3	2	asc.day0	day0.rep1	3	0	2	2	43.8968941969818	0.2000795588216	white	NA
