Gene	alignment_similarity_percentage	opt_alignment_cost	l2fc	color	abs_l2fc
WNT11	1.0	3.8519484622440827	-0.5856591324419436	green	0.5856591324419436
CXCL11	1.0	-1.3707867238525941	-0.5849625007211561	green	0.5849625007211561
EXOC3L2	1.0	-2.4865287695923444	-0.5849625007211561	green	0.5849625007211561
PRSS35	1.0	-0.4278911078260432	-0.5703580836433242	green	0.5703580836433242
HIST1H2AB	1.0	1.301273192256986	-0.5637188085226579	green	0.5637188085226579
HIST1H3I	1.0	1.4998334105332194	-0.5584835569269833	green	0.5584835569269833
CACNB4	1.0	-0.23905417503393667	-0.55558995215955	green	0.55558995215955
CA3	1.0	-0.9426420950762845	-0.5540400142630327	green	0.5540400142630327
RHCG	1.0	-2.328715979143819	0.5451261398321803	green	0.5451261398321803
HIST1H3H	1.0	1.417306768026733	-0.5434964807325539	green	0.5434964807325539
POLQ	1.0	-2.0816831093720007	-0.539464741191333	green	0.539464741191333
AC090197.1	1.0	4.1678432177872935	-0.5327223925541038	green	0.5327223925541038
HOPX	1.0	-2.352807432851083	-0.5291238697520616	green	0.5291238697520616
IGF2	1.0	0.9119464958255238	-0.5268415836145252	green	0.5268415836145252
EPPK1	1.0	-1.3707867238525941	-0.5267125691596599	green	0.5267125691596599
DOC2B	1.0	-1.3707867238525941	-0.5267125691596599	green	0.5267125691596599
BHLHA9	1.0	-1.3707867238525941	-0.5267125691596599	green	0.5267125691596599
HIST1H2AM	1.0	1.0590196653025825	-0.5187519678564299	green	0.5187519678564299
DAB1	1.0	-0.8572831230936498	-0.5157821681925662	green	0.5157821681925662
CRTAM	1.0	-2.382787098563699	0.5145731728297582	green	0.5145731728297582
MMP11	1.0	1.9149888497483492	-0.5142976954286397	green	0.5142976954286397
FLVCR2	1.0	1.2603991071219443	-0.5140835172643634	green	0.5140835172643634
DNMBP-AS1	1.0	0.9702637109237995	-0.5074353579527945	green	0.5074353579527945
TMEM176B	1.0	-2.3361419786020603	-0.4931596427065061	green	0.4931596427065061
CCL5	1.0	-2.1742921097890338	0.4889296757570787	green	0.4889296757570787
NAT8L	1.0	-1.8724230971063398	-0.4873172590269974	green	0.4873172590269974
ADGRG1	1.0	17.417798530929733	0.48691013245306775	green	0.48691013245306775
HBG2	1.0	-2.416661804079789	-0.4815475940111421	green	0.4815475940111421
PRRG4	1.0	-2.433251534632053	-0.4799700667012067	green	0.4799700667012067
RSPO4	1.0	-2.2007727076227313	-0.4799700667012067	green	0.4799700667012067
PKN2-AS1	1.0	-2.220251946352874	-0.47997006670120645	green	0.47997006670120645
SOX11	1.0	-2.3560413968133638	-0.47997006670120645	green	0.47997006670120645
IL18RAP	1.0	-2.4323578863534214	-0.47997006670120645	green	0.47997006670120645
PCLO	1.0	-2.0525014307740173	-0.47997006670120645	green	0.47997006670120645
EDNRB-AS1	1.0	-2.431468636461176	-0.47997006670120645	green	0.47997006670120645
KIF18B	1.0	-2.1886242651503314	-0.47821328952980824	green	0.47821328952980824
TAC1	1.0	-1.3707867238525941	-0.47505893546190886	green	0.47505893546190886
NPPB	1.0	-1.3707867238525941	-0.47181467624015455	green	0.47181467624015455
AL121929.2	1.0	-1.3707867238525941	-0.47181467624015455	green	0.47181467624015455
CILP2	1.0	3.6212389492282178	-0.46473908144124715	green	0.46473908144124715
AL662797.1	1.0	2.140480590466266	-0.45392630708849246	green	0.45392630708849246
NPTX2	1.0	-2.0887876292255187	-0.4531049520357217	green	0.4531049520357217
OAS1	1.0	4.496560881909119	-0.4489680513214062	green	0.4489680513214062
ARHGEF26	1.0	6.023958068521784	-0.44808914013600826	green	0.44808914013600826
NBPF20	1.0	1.4810897455786294	-0.44542141239885735	green	0.44542141239885735
RNF144A	1.0	1.8474849968385505	-0.43414801813634213	green	0.43414801813634213
NEFH	1.0	1.4098679276134354	-0.4295539123145071	green	0.4295539123145071
DLX2	1.0	1.523630913635298	-0.429421617561278	green	0.429421617561278
ABLIM1	1.0	0.9856359286958519	-0.42625774760313156	green	0.42625774760313156
ASB13	1.0	4.111589726928694	-0.4258493433201543	green	0.4258493433201543
RASSF2	1.0	-1.0407254741433696	-0.42345092802248996	green	0.42345092802248996
PRELP	1.0	3.021373538986108	-0.42078062691526047	green	0.42078062691526047
ADAMTS18	1.0	-0.5387640552922032	-0.42019311563110595	green	0.42019311563110595
AL355075.4	1.0	2.6530275523471354	-0.41987194360075636	green	0.41987194360075636
HCLS1	1.0	0.2048242735747211	-0.41652450376453815	green	0.41652450376453815
AL590705.1	1.0	17.667689676583464	-0.41458042948487933	green	0.41458042948487933
FPR1	1.0	3.80422148058317	-0.4144818329515828	green	0.4144818329515828
C5orf46	1.0	-1.820996651557656	0.4139642608867004	green	0.4139642608867004
ISG20	1.0	-0.29815816086662805	-0.4105464711935707	green	0.4105464711935707
CCNF	1.0	0.1452581009370718	-0.41018923214548153	green	0.41018923214548153
PCK1	1.0	-0.2046680156790467	-0.40992846555571083	green	0.40992846555571083
KLF5	1.0	16.4694531685893	-0.40821486528731016	green	0.40821486528731016
LIF	1.0	16.53391526506269	0.4076857123635114	green	0.4076857123635114
SCD5	1.0	2.5418885007209844	-0.4046566894009155	green	0.4046566894009155
FMO3	1.0	-1.931399324687135	-0.4022125350544788	green	0.4022125350544788
CDH20	1.0	0.8105068167993791	-0.4017683994484064	green	0.4017683994484064
AL627171.2	1.0	4.5073447071313835	-0.40117998168857544	green	0.40117998168857544
CHST1	1.0	0.07020377873533296	-0.39913833476949995	green	0.39913833476949995
SNAI1	1.0	8.719355096617774	-0.39897683350915975	green	0.39897683350915975
ZNF627	1.0	3.3167660383988764	-0.3969005714358136	green	0.3969005714358136
SLC2A13	1.0	4.787618113694201	-0.3950323862948196	green	0.3950323862948196
IL1A	1.0	-1.1423971964315327	0.3935112990732502	green	0.3935112990732502
GASK1A	1.0	1.0527337123990175	-0.39157780324038244	green	0.39157780324038244
CPS1	1.0	0.9856253362889366	-0.3913976118976176	green	0.3913976118976176
GALM	1.0	5.0621303286856385	-0.3880562455261975	green	0.3880562455261975
HIST1H1B	1.0	3.833198670602606	-0.3868734000576567	green	0.3868734000576567
SPON1	1.0	1.33402463680997	-0.3848730611700849	green	0.3848730611700849
FIBCD1	1.0	2.7979595873668983	-0.3840251240893892	green	0.3840251240893892
TMEM164	1.0	0.7514544299998432	-0.3827291197512414	green	0.3827291197512414
TMEM176A	1.0	-2.3521718019570463	-0.38263660770870256	green	0.38263660770870256
CACNA1C	1.0	1.9113120857574513	-0.382619758439778	green	0.382619758439778
IL18R1	1.0	2.3447652702666226	-0.38184923604706195	green	0.38184923604706195
WDR62	1.0	-2.0707547746782504	-0.3814925658800477	green	0.3814925658800477
GZF1	1.0	3.312256499373516	-0.3814621733968622	green	0.3814621733968622
TBX21	1.0	-1.3707867238525941	-0.38105835567502083	green	0.38105835567502083
Z95114.1	1.0	-2.009347024614313	0.3790997298838103	green	0.3790997298838103
PER1	1.0	5.767975705320031	-0.378802686055469	green	0.378802686055469
FAM180A	1.0	0.1429152647844173	0.3748418358294985	green	0.3748418358294985
AL033397.2	1.0	-2.171525145081123	-0.3747983828197947	green	0.3747983828197947
CFI	1.0	0.3484827051696341	-0.3720258736323598	green	0.3720258736323598
EHD3	1.0	0.7089481306647288	-0.37162844614620894	green	0.37162844614620894
PXYLP1	1.0	0.4245129956186019	-0.37145112725770374	green	0.37145112725770374
AL357079.2	1.0	-1.3707867238525941	-0.3701433519460013	green	0.3701433519460013
FAM189A1	1.0	-1.3707867238525941	-0.3701433519460013	green	0.3701433519460013
SDR42E1	1.0	-1.3707867238525941	-0.3701433519460013	green	0.3701433519460013
MIA	1.0	-1.3707867238525941	-0.3701433519460013	green	0.3701433519460013
Z82246.1	1.0	-1.3707867238525941	-0.3701433519460013	green	0.3701433519460013
KIAA0040	1.0	-1.3707867238525941	0.3701433519460012	green	0.3701433519460012
POU3F3	1.0	-1.3707867238525941	0.3701433519460012	green	0.3701433519460012
NPSR1-AS1	1.0	-1.3707867238525941	0.3701433519460012	green	0.3701433519460012
AC005537.1	1.0	-1.3707867238525941	0.3701433519460012	green	0.3701433519460012
INSL4	1.0	-1.3707867238525941	0.3701433519460012	green	0.3701433519460012
ASCL1	1.0	-1.3707867238525941	0.3701433519460012	green	0.3701433519460012
PCDH17	1.0	-1.3707867238525941	0.3701433519460012	green	0.3701433519460012
AC023421.1	1.0	-1.3707867238525941	0.3701433519460012	green	0.3701433519460012
ODAPH	1.0	-2.416661963196229	-0.3698725241303263	green	0.3698725241303263
ETV1	1.0	2.0495061551069	-0.36620107499400706	green	0.36620107499400706
CPNE7	1.0	0.17715308146561132	-0.3660369693349991	green	0.3660369693349991
WNK4	1.0	2.584039114304762	-0.3617808517952919	green	0.3617808517952919
ABTB2	1.0	0.8265852081792683	-0.3592266493033827	green	0.3592266493033827
AC006064.4	1.0	3.1025212772443678	-0.35877939835505024	green	0.35877939835505024
SLC6A8	1.0	3.290426795711207	-0.3566876760918648	green	0.3566876760918648
RGMA	1.0	1.035564824735277	-0.35485124160995773	green	0.35485124160995773
SH3BP5-AS1	1.0	1.0704568987256993	-0.35370121888543343	green	0.35370121888543343
HIST1H4F	1.0	1.7027969563197813	-0.35257625749448096	green	0.35257625749448096
PIK3R3	1.0	1.2854482205975752	-0.35119695663769357	green	0.35119695663769357
FJX1	1.0	1.662513079685397	-0.34460356858623475	green	0.34460356858623475
PKNOX2	1.0	17.196427037845083	-0.3425268146350355	green	0.3425268146350355
HIST1H1D	1.0	2.5572347239658395	-0.34090171015745435	green	0.34090171015745435
FOXF2	1.0	1.0296684788416626	-0.3408447093133165	green	0.3408447093133165
AR	1.0	2.9349689133255525	-0.34009450059846374	green	0.34009450059846374
NHS	1.0	1.2422777300119554	-0.33941987021978076	green	0.33941987021978076
LINC01592	1.0	-2.433257934063217	0.33843653134850626	green	0.33843653134850626
SYCE1	1.0	0.7126124648480548	-0.3381649481054009	green	0.3381649481054009
DCC	1.0	-2.2676859611993962	-0.3378731544153434	green	0.3378731544153434
TYROBP	1.0	-2.4117546278133144	-0.33774259810473023	green	0.33774259810473023
CDCA7	1.0	0.6784918483597228	-0.33734271527848175	green	0.33734271527848175
MIS12	1.0	5.383746288609709	-0.33685186991303573	green	0.33685186991303573
GLUD2	1.0	0.29162525034710796	-0.3367390565811872	green	0.3367390565811872
GPSM2	1.0	0.299107343689395	-0.33608701583918504	green	0.33608701583918504
AL365181.3	1.0	-1.3707867238525941	-0.33555129254611094	green	0.33555129254611094
AC012073.1	1.0	-1.3707867238525941	-0.33555129254611094	green	0.33555129254611094
MKX-AS1	1.0	-1.3707867238525941	-0.33555129254611094	green	0.33555129254611094
AL138960.1	1.0	-1.3707867238525941	-0.33555129254611094	green	0.33555129254611094
NOXO1	1.0	-1.3707867238525941	-0.33555129254611094	green	0.33555129254611094
PI3	1.0	-1.3707867238525941	-0.33555129254611094	green	0.33555129254611094
PNMA3	1.0	-1.3707867238525941	-0.33555129254611094	green	0.33555129254611094
TBX20	1.0	-1.3707867238525941	0.3355512925461108	green	0.3355512925461108
ADAMTS4	1.0	4.724487506264596	-0.3343261962581847	green	0.3343261962581847
NCAM1	1.0	16.121749002261996	-0.33206074077509395	green	0.33206074077509395
ZNRF3	1.0	0.15145545806074046	-0.3314094379069201	green	0.3314094379069201
RGS3	1.0	4.578778580084194	-0.3311055115880719	green	0.3311055115880719
EFNB1	1.0	5.173800058028469	-0.3303341751282064	green	0.3303341751282064
KIF24	1.0	-1.6121386638043844	0.32972430059528474	green	0.32972430059528474
SLC7A8	1.0	1.0892054967740479	-0.3296247817783634	green	0.3296247817783634
