orig.ident	nCount_RNA	nFeature_RNA	sample	condition	time	rep	percent.mt	RNA_snn_res.0.5	seurat_clusters	cond.time	time.rep	initial_clusters	fastmnn_clusters	progen_clusters	if_progen_cluster	time.progen_clusters	raw_pseudotime	monocle_pseudotime	pscondition	sample_or_progen_cluster
white_day1_rep2	29049	4708	white_day1_rep2	white	day1	rep2	1.64893800130813	6	2	white.day1	day1.rep2	6	2	NA	t6	day1	34.5304633357916	0.221813386666651	white	white.day1
white_day1_rep2	19012	4383	white_day1_rep2	white	day1	rep2	2.66673679781191	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	29.6323904563621	0.332197504853456	white	white.day1
white_day1_rep2	16210	3728	white_day1_rep2	white	day1	rep2	1.5607649599013	0	4	white.day1	day1.rep2	0	4	NA	t0	day1	15.8159178932464	0.643568768179647	white	white.day1
white_day1_rep2	24911	4469	white_day1_rep2	white	day1	rep2	2.18377423628116	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	27.4294138212208	0.381844302531267	white	white.day1
white_day1_rep2	27444	4883	white_day1_rep2	white	day1	rep2	1.25710537822475	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	30.4503803963457	0.31376309188464	white	white.day1
white_day1_rep2	13062	3266	white_day1_rep2	white	day1	rep2	1.43163374674629	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	30.0849313305864	0.321998937667058	white	white.day1
white_day1_rep2	26347	4509	white_day1_rep2	white	day1	rep2	0.937488139067066	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	26.0922938718435	0.411977951040637	white	white.day1
white_day1_rep2	24197	4634	white_day1_rep2	white	day1	rep2	0.760424846055296	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	32.7791906871014	0.261280477457031	white	white.day1
white_day1_rep2	38392	5343	white_day1_rep2	white	day1	rep2	1.48468430923109	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	30.5056679271974	0.312517119133719	white	white.day1
white_day1_rep2	29485	4617	white_day1_rep2	white	day1	rep2	0.145836866203154	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	29.6323907121045	0.332197499089986	white	white.day1
white_day1_rep2	9472	2751	white_day1_rep2	white	day1	rep2	1.33023648648649	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	28.5496270762304	0.356598914114384	white	white.day1
white_day1_rep2	25119	4665	white_day1_rep2	white	day1	rep2	1.01516780126597	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	27.567795391967	0.378725703025679	white	white.day1
white_day1_rep2	53443	6869	white_day1_rep2	white	day1	rep2	1.57176805194319	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	29.8569630505869	0.327136484245427	white	white.day1
white_day1_rep2	44159	5380	white_day1_rep2	white	day1	rep2	0.62954324146833	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	27.9094047237279	0.371027115075063	white	white.day1
white_day1_rep2	30631	4745	white_day1_rep2	white	day1	rep2	2.10897456824785	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	30.4503806520881	0.31376308612117	white	white.day1
white_day1_rep2	22167	4182	white_day1_rep2	white	day1	rep2	1.19998195515857	0	4	white.day1	day1.rep2	0	4	NA	t0	day1	28.5884045235076	0.35572501647574	white	white.day1
white_day1_rep2	31208	4836	white_day1_rep2	white	day1	rep2	1.66623942578826	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	30.4503809078305	0.313763080357699	white	white.day1
white_day1_rep2	11515	2843	white_day1_rep2	white	day1	rep2	2.44897959183673	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	26.0715346321852	0.412445786130133	white	white.day1
white_day1_rep2	14082	3666	white_day1_rep2	white	day1	rep2	1.86763243857407	9	7	white.day1	day1.rep2	9	7	NA	t9	day1	43.8369265904419	0.0120807499562451	white	white.day1
white_day1_rep2	30119	4686	white_day1_rep2	white	day1	rep2	1.95225605099771	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	30.4503811635728	0.313763074594229	white	white.day1
white_day1_rep2	23665	4235	white_day1_rep2	white	day1	rep2	1.14092541728291	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	30.4503814193152	0.313763068830758	white	white.day1
white_day1_rep2	26341	4490	white_day1_rep2	white	day1	rep2	1.59826885843362	10	2	white.day1	day1.rep2	10	2	NA	t10	day1	36.0534197491142	0.187491684058352	white	white.day1
white_day1_rep2	33408	4742	white_day1_rep2	white	day1	rep2	1.68522509578544	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	30.4503816750576	0.313763063067288	white	white.day1
white_day1_rep2	21425	4323	white_day1_rep2	white	day1	rep2	2.68378063010502	0	4	white.day1	day1.rep2	0	4	NA	t0	day1	24.5355920691034	0.447060147652478	white	white.day1
white_day1_rep2	28778	5023	white_day1_rep2	white	day1	rep2	0.48648272986309	0	2	white.day1	day1.rep2	0	2	NA	t0	day1	34.0054382558885	0.233645474897606	white	white.day1
white_day1_rep2	19675	3965	white_day1_rep2	white	day1	rep2	1.63151207115629	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	30.4503819308	0.313763057303817	white	white.day1
white_day1_rep2	20726	4451	white_day1_rep2	white	day1	rep2	0.95049696033967	9	7	white.day1	day1.rep2	9	7	NA	t9	day1	43.8369268461843	0.0120807441927746	white	white.day1
