Gene	alignment_similarity_percentage	opt_alignment_cost	l2fc	color	abs_l2fc
PRC1	1.0	-0.49864380974846967	-0.03974020198252455	green	0.03974020198252455
GDF15	1.0	1.8550339320856297	-0.03973047398480564	green	0.03973047398480564
FGF5	1.0	-0.20109621469730246	-0.03963901104113852	green	0.03963901104113852
PHLDA2	1.0	0.19003527062184478	-0.03960367662820749	green	0.03960367662820749
MIR31HG	1.0	-0.5231609342477458	-0.03955016674122291	green	0.03955016674122291
LRRC17	1.0	3.5273213578155587	-0.039414512912113654	green	0.039414512912113654
ITGB8	1.0	-0.3481792351904135	-0.03940549922165959	green	0.03940549922165959
MYO1B	1.0	0.155190226751304	-0.03933633757724507	green	0.03933633757724507
SERPINB2	1.0	1.5190315999947543	-0.039223611305666026	green	0.039223611305666026
ACTG2	1.0	-1.3384899330677507	0.0392027547490772	green	0.0392027547490772
JAM2	1.0	-0.42794893404689216	-0.03916520716701666	green	0.03916520716701666
TAFA5	1.0	0.1308273577670399	-0.039042795088479555	green	0.039042795088479555
HILPDA	1.0	1.2195157699383867	-0.03885551519675563	green	0.03885551519675563
F2R	1.0	-0.0812887060993274	-0.03879852087216144	green	0.03879852087216144
BICC1	1.0	0.5832198660155211	-0.038671442017186745	green	0.038671442017186745
PROCR	1.0	0.8819507382927946	-0.038658610884089055	green	0.038658610884089055
CCND2	1.0	-0.5215739697956484	-0.038593565993495636	green	0.038593565993495636
TRIP13	1.0	-0.49946136536451047	-0.03859127328564673	green	0.03859127328564673
FMN2	1.0	-0.12605425370953963	-0.03856705875851629	green	0.03856705875851629
MMP23B	1.0	1.1159229142318203	-0.03837410412609575	green	0.03837410412609575
FRMD6	1.0	0.6252505063007464	-0.038364361187807755	green	0.038364361187807755
MARC1	1.0	0.08752280665276835	-0.03825907351151711	green	0.03825907351151711
CTH	1.0	0.725095441811546	-0.03822233110307214	green	0.03822233110307214
BAMBI	1.0	-0.45133186162898487	-0.03816667303370323	green	0.03816667303370323
TAGLN	1.0	2.081917118871669	0.038165813155539755	green	0.038165813155539755
DNM3OS	1.0	-0.2955231551661798	-0.03810239750844739	green	0.03810239750844739
RGS3	1.0	0.1773058854749382	-0.038088635601905486	green	0.038088635601905486
AQP3	1.0	0.7474327355808102	-0.03796677260764873	green	0.03796677260764873
KIFC1	1.0	-0.7717193605987928	0.03788503206764373	green	0.03788503206764373
MYLK	1.0	0.6381751589319052	0.03787761053991965	green	0.03787761053991965
VTN	1.0	0.2592483309205614	0.03784764334145412	green	0.03784764334145412
UGT2A1	1.0	-2.1938261550664877	-0.0376672312320072	green	0.0376672312320072
CDH2	1.0	0.7673282880814022	-0.037647420183997124	green	0.037647420183997124
MFAP2	1.0	-0.11822657872566392	-0.03764408120687835	green	0.03764408120687835
STARD4-AS1	1.0	-0.5580591116970678	-0.0374941237652495	green	0.0374941237652495
CAV2	1.0	2.3739107444500926	-0.037492439682263484	green	0.037492439682263484
HTR2A	1.0	-0.2945063728752545	-0.03744495054907797	green	0.03744495054907797
ARMC9	1.0	-0.3933646696726961	-0.037378780856415356	green	0.037378780856415356
ANK2	1.0	0.7206877846655021	-0.03736822262269074	green	0.03736822262269074
MAMLD1	1.0	-0.5592741687423245	-0.03733732461916509	green	0.03733732461916509
PLS3	1.0	0.2675051907619598	-0.03728793328172904	green	0.03728793328172904
HYMAI	1.0	-0.42704896662317193	0.03725240786893564	green	0.03725240786893564
MRAP	1.0	-0.4258286264050267	0.03724260050281558	green	0.03724260050281558
MARCKSL1	1.0	2.061676951747039	-0.03716627114573151	green	0.03716627114573151
TRIM59	1.0	-0.1465976143630351	-0.03712844523093224	green	0.03712844523093224
CDKN3	1.0	-0.38013938946993353	-0.03712369508049384	green	0.03712369508049384
HSD17B2	1.0	-1.6119539437840862	-0.03707570265398849	green	0.03707570265398849
LPXN	1.0	-0.3866451885122332	-0.03685398046267513	green	0.03685398046267513
RECK	1.0	1.3182236312058961	-0.036837721925197235	green	0.036837721925197235
FAR2	1.0	-0.4352631325186965	-0.03680370565335354	green	0.03680370565335354
APCDD1L	1.0	-0.6039180156034717	-0.03675607470489312	green	0.03675607470489312
GAS2L3	1.0	-0.0162537218042439	-0.03667039278011801	green	0.03667039278011801
LINC00472	1.0	-0.08578676123201681	-0.03663397028746096	green	0.03663397028746096
ADAMTSL1	1.0	0.4306408097499056	-0.0365695299886691	green	0.0365695299886691
DKK2	1.0	-0.6859272782462337	-0.03655131393361302	green	0.03655131393361302
NTN4	1.0	-0.08810904403611466	-0.036546165973555915	green	0.036546165973555915
CRACR2B	1.0	0.37888780996652727	-0.03636660944947047	green	0.03636660944947047
GPATCH11	1.0	1.3045095497117107	-0.0362558431532595	green	0.0362558431532595
KCNMA1	1.0	2.6171365929363954	-0.036197989030919475	green	0.036197989030919475
TK1	1.0	0.5667780047520121	0.03615057638953772	green	0.03615057638953772
NEXN	1.0	0.43444531580403545	-0.036147891585426084	green	0.036147891585426084
FHL1	1.0	1.9572217209216585	-0.036126682401792884	green	0.036126682401792884
PCLAF	1.0	0.17246221639149517	0.03610985452465326	green	0.03610985452465326
SLC25A4	1.0	0.8620186006218347	-0.035468340658468746	green	0.035468340658468746
TRHDE-AS1	1.0	-0.28054821097233174	-0.03546477002208837	green	0.03546477002208837
CHCHD10	1.0	2.179780435444832	-0.03543756175397217	green	0.03543756175397217
RAD51	1.0	-0.44033406114005	0.03539926752198714	green	0.03539926752198714
TPM4	1.0	1.1269638028877367	-0.03535935089460984	green	0.03535935089460984
RBM3	1.0	0.37413881518177294	-0.03530867984045671	green	0.03530867984045671
LSP1	1.0	1.1878196824281742	-0.03530369225001379	green	0.03530369225001379
VSIR	1.0	0.8737081270814925	-0.035202978010824955	green	0.035202978010824955
DAB2	1.0	1.4843415996678901	-0.03508888675310968	green	0.03508888675310968
ABLIM1	1.0	-0.5293652736458007	-0.034958316503154827	green	0.034958316503154827
ARHGAP20	1.0	-0.11804851185440426	-0.034835279783212526	green	0.034835279783212526
TES	1.0	0.010986810815421674	-0.034759146749453386	green	0.034759146749453386
WFDC1	1.0	-1.793915640350205	0.034642525556796706	green	0.034642525556796706
PPP1R1B	1.0	0.6960722479979501	-0.03451356036894682	green	0.03451356036894682
FBLN5	1.0	-0.06528173564865208	-0.03436924815018082	green	0.03436924815018082
ATP1B1	1.0	-0.36898292089835405	-0.03401196585914577	green	0.03401196585914577
CYP24A1	1.0	-0.15173162395422427	-0.03385062282561168	green	0.03385062282561168
ACTG1	1.0	1.4585843947012815	-0.033745869939853346	green	0.033745869939853346
HIST1H2BH	1.0	-0.713697684555895	0.03364724404055824	green	0.03364724404055824
GFRA1	1.0	-0.6650890057373587	0.03360887119025158	green	0.03360887119025158
RMRP	1.0	0.7293319308006668	-0.03354988110501085	green	0.03354988110501085
AC007952.4	1.0	0.1389314838233141	0.03354514018656073	green	0.03354514018656073
SGK1	1.0	-0.20908592748589086	-0.03354045595263921	green	0.03354045595263921
ID4	1.0	0.39657524870468014	-0.03341945623280714	green	0.03341945623280714
AP1S2	1.0	-0.3076631917951308	-0.03338774901589819	green	0.03338774901589819
NFKBIZ	1.0	-0.1885542095635257	-0.03316974446941051	green	0.03316974446941051
VDR	1.0	-0.31382188918834786	-0.033046754716528404	green	0.033046754716528404
TRAF5	1.0	-0.2089488931722762	-0.033042363045390676	green	0.033042363045390676
PALLD	1.0	0.46849104909971107	-0.03303597018603026	green	0.03303597018603026
CDT1	1.0	-0.47842746480576726	-0.03303448212449064	green	0.03303448212449064
CLU	1.0	1.884912864752699	-0.03301131224343131	green	0.03301131224343131
TSTD1	1.0	-0.48094806380252664	0.03297479641309352	green	0.03297479641309352
SH2D4A	1.0	0.4197503078794175	-0.03265319390851249	green	0.03265319390851249
NTS	1.0	-0.5541033300802708	0.03258582716388446	green	0.03258582716388446
FANCI	1.0	-0.6003105436907142	-0.03248981479942988	green	0.03248981479942988
RALGPS2	1.0	0.2700743866319816	-0.03240392462838423	green	0.03240392462838423
MGST1	1.0	3.1054749008686735	-0.032324293895129426	green	0.032324293895129426
AKR1C2	1.0	2.187473460947878	-0.03219639821608229	green	0.03219639821608229
PAMR1	1.0	0.13614563269352764	-0.03216302514874153	green	0.03216302514874153
MARCH3	1.0	-0.165235877096854	-0.03213173306133259	green	0.03213173306133259
CFD	1.0	2.0330621132310287	-0.03199506629304546	green	0.03199506629304546
TCF7	1.0	-0.19959850528803463	-0.03198620083205282	green	0.03198620083205282
IER3	1.0	0.6022850200691411	-0.03182712144185633	green	0.03182712144185633
ARHGDIB	1.0	-0.3454501126954278	0.031794025189560045	green	0.031794025189560045
KAZALD1	1.0	-0.07280103407654984	-0.03178009268954401	green	0.03178009268954401
ASF1B	1.0	-0.6269234205713491	0.03175610993510702	green	0.03175610993510702
AUXG01000058.1	1.0	-0.46244769593469404	0.031716168210707114	green	0.031716168210707114
CARD9	1.0	-0.234641965370953	-0.031689584757055696	green	0.031689584757055696
SEMA3C	1.0	0.5446700140983064	-0.03162447688441806	green	0.03162447688441806
AL133415.1	1.0	-0.003923804858598903	-0.03160010716272255	green	0.03160010716272255
