Geneid	gene_name	description	gene_biotype	logFC.s1	P.Value.s1	adj.P.Val.s1	AveExpr.s1	logFC.s2	P.Value.s2	adj.P.Val.s2	AveExpr.s2	logFC.s3	P.Value.s3	adj.P.Val.s3	AveExpr.s3	logFC.s4	P.Value.s4	adj.P.Val.s4	AveExpr.s4	logFC.s5	P.Value.s5	adj.P.Val.s5	AveExpr.s5	logFC.s6	P.Value.s6	adj.P.Val.s6	AveExpr.s6
ENSG00000162669	HFM1	helicase for meiosis 1 	protein_coding	-0.794182181115448	0.0125218685374135	0.037597416846924	-1.78293408175653	0.466527478352944	0.152303921710471	0.268045991556444	-1.78293408175653	-0.17762513180938	0.565382213827539	0.896444134825848	-1.78293408175653	-0.24353297734309	0.427623175390435	0.851991414310717	-1.78293408175653	0.305577929120314	0.316565176330277	0.729917328889285	-1.78293408175653	0.44323488279466	0.167590587184554	0.3349396572563	-1.78293408175653
ENSG00000162687	KCNT2	potassium sodium-activated channel subfamily T member 2 	protein_coding	1.12258905047269	0.00138983716206254	0.00650302193699097	0.653391684922821	-1.22396231799158	0.00107743570306362	0.0065542493206575	0.653391684922821	0.0837753323325107	0.798242700533114	0.960456815086437	0.653391684922821	-0.0941444889181137	0.772044467019803	0.964223483093194	0.653391684922821	-0.212550835593487	0.510659150774103	0.840058069268245	0.653391684922821	0.324293259697986	0.337859364001538	0.531111451000369	0.653391684922821
ENSG00000162688	AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase 	protein_coding	-0.171445035621544	0.327663239686525	0.465081765249519	5.17835581941023	0.749496190914155	0.00017542423988734	0.00155768790393572	5.17835581941023	-0.280110993631648	0.115253840356737	0.539719637549819	5.17835581941023	0.000304869448899035	0.998599933247664	0.999577804836526	5.17835581941023	-0.225380923062491	0.201292398383807	0.620929463229707	5.17835581941023	-0.0728641080473738	0.678070408166791	0.812022015447554	5.17835581941023
ENSG00000162692	VCAM1	vascular cell adhesion molecule 1 	protein_coding	-2.08727763949992	2.03605250804026e-09	1.60082564007107e-07	3.611568941961	3.07514517061191	1.25208572156281e-12	3.1850591855135e-10	3.611568941961	0.54070364044382	0.0387426700906631	0.305960369264306	3.611568941961	1.55609945446801	7.242971721645e-07	7.52190784294964e-05	3.611568941961	0.368800345098006	0.143954457037934	0.545995634220004	3.611568941961	-3.45347097112183	5.10110078156836e-14	1.31615687451295e-10	3.611568941961
ENSG00000162694	EXTL2	exostosin like glycosyltransferase 2 	protein_coding	0.13386521675313	0.1925921041014	0.313116031341739	4.54855297055015	0.399444136314899	0.000620811779515973	0.00426492261309927	4.54855297055015	-0.295289261689571	0.00685932658633098	0.104840816540944	4.54855297055015	0.00951353323860802	0.925544669770391	0.989513977016341	4.54855297055015	0.0208905008433827	0.837109569543857	0.955451950237317	4.54855297055015	-0.268424125460451	0.0145095473772421	0.0629490596157506	4.54855297055015
ENSG00000162695	SLC30A7	solute carrier family 30 member 7 	protein_coding	0.570445970825996	0.000101295997755652	0.000801360935376627	5.04632782056519	-0.319416800333518	0.0202114363877488	0.0611335561113736	5.04632782056519	-0.0544268113735625	0.672773406459364	0.925575906007204	5.04632782056519	0.153262158544145	0.237629785561144	0.709980406454893	5.04632782056519	-0.00243531795212922	0.984838091026386	0.995099088141949	5.04632782056519	-0.347429199710933	0.0117508597843739	0.0543210336743223	5.04632782056519
ENSG00000162702	ZNF281	zinc finger protein 281 	protein_coding	0.504668564655798	0.000852484714110789	0.00439542001907496	5.02357225756727	0.116168712444641	0.408722251822943	0.547163869334908	5.02357225756727	-0.277398093359284	0.0511382475774666	0.35441592075849	5.02357225756727	0.0190876797884923	0.8893103072903	0.983298492148183	5.02357225756727	-0.0375432072277313	0.784387004661562	0.936938201712571	5.02357225756727	-0.324983656301918	0.0253834691619505	0.0931813308771707	5.02357225756727
ENSG00000162704	ARPC5	actin related protein 2/3 complex subunit 5 	protein_coding	0.509573614241369	0.000220590308021975	0.00148659759447197	7.27695538538773	-0.661847700896551	4.73294657008968e-06	8.10253535567674e-05	7.27695538538773	0.0908063596118971	0.454464342329598	0.861906870186456	7.27695538538773	-0.152134982198438	0.215626961662026	0.685287312794986	7.27695538538773	0.265726634471841	0.0356176658721898	0.2701766750599	7.27695538538773	-0.0521239252301218	0.663711279459445	0.801664510019196	7.27695538538773
ENSG00000162706	CADM3	cell adhesion molecule 3 	protein_coding	-0.806565606217249	0.0238831312636722	0.0623432914804429	6.32555832074615	-2.43195958177082	4.34548854273564e-08	1.64536412097166e-06	6.32555832074615	1.06114230051266	0.00364653807295661	0.0693264464585994	6.32555832074615	0.80403276098518	0.0236367664083891	0.198642595023144	6.32555832074615	1.00445361837905	0.00585038279363818	0.0877606010264943	6.32555832074615	0.368896508111168	0.27655295466584	0.465934973341394	6.32555832074615
ENSG00000162714	ZNF496	zinc finger protein 496 	protein_coding	-0.00511501001957836	0.953418382988167	0.971217677109379	3.67121997604387	0.0748628185054342	0.421550845405178	0.559414387866489	3.67121997604387	0.16735996409157	0.0686697155614691	0.413951008863551	3.67121997604387	-0.0081481291198645	0.926685786769612	0.989513977016341	3.67121997604387	0.0676442513441351	0.444493442788399	0.80559323294324	3.67121997604387	-0.296603894801697	0.00276189248519077	0.018475014879641	3.67121997604387
