"simple_id"	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"	"proximity"
"P:r1@C12orf65"	7.12619700961633e-16	0.503055961553743	0.346	0.293	5.3529854077135e-11	"4"	"C12orf65"	"P"
"P:r1@PGAM1"	7.18593856238608e-16	1.0428856304034	0.949	0.986	5.39786146990755e-11	"8"	"PGAM1"	"P"
"P:r1@RNGTT"	7.42536560728688e-16	0.654707890784004	0.375	0.199	5.57771188322569e-11	"6"	"RNGTT"	"P"
"P:r1@FAM156A"	7.58881096628309e-16	0.637753618480872	0.425	0.233	5.70048713354287e-11	"6"	"FAM156A"	"P"
"P:r1@PANK2"	7.64986402799096e-16	0.518816949761735	0.715	0.487	5.74634836190597e-11	"6"	"PANK2"	"P"
"P:r1@ABCD3"	7.74911979238306e-16	0.581512562871116	0.466	0.261	5.82090631444438e-11	"6"	"ABCD3"	"P"
"P:r1@PDSS2"	7.7645354599001e-16	0.636457420153458	0.387	0.207	5.83248610141315e-11	"6"	"PDSS2"	"P"
"P:r1@CLTB"	7.82419460672903e-16	1.20294297959312	0.948	0.783	5.87730026273665e-11	"9"	"CLTB"	"P"
"P:r2@LIN37"	8.09929725487548e-16	0.643432853609772	0.33	0.165	6.08394911894481e-11	"6"	"LIN37"	"P"
"P:r1@PPAT"	8.39799041908495e-16	0.572695809153851	0.404	0.215	6.30831846310404e-11	"6"	"PPAT"	"P"
"P:r1@GTF3C2"	9.28645863456896e-16	0.76044816566427	0.254	0.117	6.97570913252917e-11	"6"	"GTF3C2"	"P"
"P:r1@HPS4"	9.42259062920725e-16	0.572979549908675	0.309	0.149	7.07796740294161e-11	"6"	"HPS4"	"P"
"P:r1@PML"	9.52766858934576e-16	1.47197029978089	0.792	0.427	7.15689881425885e-11	"9"	"PML"	"P"
"P:r1@ADGRA2"	1.01625147257791e-15	0.602828431310077	0.359	0.185	7.6337761865635e-11	"6"	"ADGRA2"	"P"
